name,address,coords,main_dish,price,meal_type,cuisine_suggestion,calo_estimate(kcal)
Jollibee Pasteur,"194D Pasteur, Phường, Xuân Hòa, Hồ Chí Minh 700000, Việt Nam","10.78172095879121, 106.69485376630983",ChickenJoy,86000,Fast food,Western ,430
The Street NTMK,"102 Nguyễn Thị Minh Khai, Xuân Hòa, Hồ Chí Minh 70000, Việt Nam","10.780097909240235, 106.6950874165593",Cháo nghêu ,125000,Full meal ,Vietnamese,280
Warning Zone 173,"173 Hai Bà Trưng, Phường, Xuân Hòa, Hồ Chí Minh 700000, Việt Nam","10.784833249328928, 106.69512615872844",Bò cuốn cải xanh ,215000,Full meal ,Vietnamese,350
Trà 1000M - 130A Nguyễn Đình Chiểu,"130a Nguyễn Đình Chiểu, Xuân Hòa, Hồ Chí Minh, Việt Nam","10.783856514534586, 106.69481150114946",Americano ,40000,Drink ,Dessert ,15
nhà anh,"206 Pasteur, Xuân Hòa, Hồ Chí Minh 700000, Việt Nam","10.78317574515161, 106.69322008138288",Hến xúc bánh tráng ,75000,Full meal ,Vietnamese,450
The Vintage Emporium Da Kao,"95 Nguyễn Văn Thủ, Tân Định, Hồ Chí Minh, Việt Nam","10.790134237762885, 106.69929563966788",Ngũ cốc ,195000,Healthy meal ,Vietnamese ,300
Hủ Tiếu Mực - Bún Thái Hải Sản | Phú Bến Tre | Hủ Tiếu Mực Ngon Quận 1,"2 bis Mai Thị Lựu, Tân Định, Hồ Chí Minh 70000, Việt Nam","10.790727748018705, 106.6998041503087",Hủ tiếu mực ,45000,Full meal ,Vietnamese ,500
Én’s Kitchen- Italian Cuisine & more,"109/11 Nguyễn Bỉnh Khiêm, Tân Định, Hồ Chí Minh 700000, Việt Nam","10.791467759442162, 106.69974165574119",Cá hồi hun khói ,188000,Full meal ,Vietnamese ,350
Hội An Sense Restaurant,"12 Phan Kế Bính, Tân Định, Hồ Chí Minh 700000, Việt Nam","10.790559274944716, 106.69886280227342",Mực nướng muối ớt ,298000,Full meal ,Vietnamese ,300
Cuc Gach Cafe,"79 Phan Kế Bính, Tân Định, Hồ Chí Minh, Việt Nam","10.790266956422665, 106.69880236194584",Ca bống kho tiêu ,240000,Full meal ,Vietnamese ,380
Dakao Tipsy,"11A Phan Kế Bính, Tân Định, Hồ Chí Minh 700000, Việt Nam","10.789756164245224, 106.69936861046742",Espresso,59000,Drink ,Western,5
Nhà Thơm,"42CT Tam Đảo, Cư Xá Bắc Hải, P. 15, Quận 10","10.780197491863634, 106.6642506031883",Trà trái cây,25000,Drinks,Vietnamese,180
